PassengerId,Embarked,Pclass,Sex,Age,SibSp,Parch,Fare,Survived
1,S,3,male,22,1,0,7.25,0
2,C,1,female,38,1,0,71.2833,1
3,S,3,female,26,0,0,7.925,1
4,S,1,female,35,1,0,53.1,1
5,S,3,male,35,0,0,8.05,0
6,Q,3,male,,0,0,8.4583,0
7,S,1,male,54,0,0,51.8625,0
8,S,3,male,2,3,1,21.075,0
9,S,3,female,27,0,2,11.1333,1
10,C,2,female,14,1,0,30.0708,1
11,S,3,female,4,1,1,16.7,1
12,S,1,female,58,0,0,26.55,1
13,S,3,male,20,0,0,8.05,0
14,S,3,male,39,1,5,31.275,0
15,S,3,female,14,0,0,7.8542,0
16,S,2,female,55,0,0,16,1
17,Q,3,male,2,4,1,29.125,0
18,S,2,male,,0,0,13,1
19,S,3,female,31,1,0,18,0
20,C,3,female,,0,0,7.225,1
21,S,2,male,35,0,0,26,0
22,S,2,male,34,0,0,13,1
23,Q,3,female,15,0,0,8.0292,1
24,S,1,male,28,0,0,35.5,1
25,S,3,female,8,3,1,21.075,0
26,S,3,female,38,1,5,31.3875,1
27,C,3,male,,0,0,7.225,0
28,S,1,male,19,3,2,263,0
29,Q,3,female,,0,0,7.8792,1
30,S,3,male,,0,0,7.8958,0
31,C,1,male,40,0,0,27.7208,0
32,C,1,female,,1,0,146.5208,1
33,Q,3,female,,0,0,7.75,1
34,S,2,male,66,0,0,10.5,0
35,C,1,male,28,1,0,82.1708,0
36,S,1,male,42,1,0,52,0
37,C,3,male,,0,0,7.2292,1
38,S,3,male,21,0,0,8.05,0
39,S,3,female,18,2,0,18,0
40,C,3,female,14,1,0,11.2417,1
41,S,3,female,40,1,0,9.475,0
42,S,2,female,27,1,0,21,0
43,C,3,male,,0,0,7.8958,0
44,C,2,female,3,1,2,41.5792,1
45,Q,3,female,19,0,0,7.8792,1
46,S,3,male,,0,0,8.05,0
47,Q,3,male,,1,0,15.5,0
48,Q,3,female,,0,0,7.75,1
49,C,3,male,,2,0,21.6792,0
50,S,3,female,18,1,0,17.8,0
51,S,3,male,7,4,1,39.6875,0
52,S,3,male,21,0,0,7.8,0
53,C,1,female,49,1,0,76.7292,1
54,S,2,female,29,1,0,26,1
55,C,1,male,65,0,1,61.9792,0
56,S,1,male,,0,0,35.5,1
57,S,2,female,21,0,0,10.5,1
58,C,3,male,28.5,0,0,7.2292,0
59,S,2,female,5,1,2,27.75,1
60,S,3,male,11,5,2,46.9,0
61,C,3,male,22,0,0,7.2292,0
62,,1,female,38,0,0,80,1
63,S,1,male,45,1,0,83.475,0
64,S,3,male,4,3,2,27.9,0
65,C,1,male,,0,0,27.7208,0
66,C,3,male,,1,1,15.2458,1
67,S,2,female,29,0,0,10.5,1
68,S,3,male,19,0,0,8.1583,0
69,S,3,female,17,4,2,7.925,1
70,S,3,male,26,2,0,8.6625,0
71,S,2,male,32,0,0,10.5,0
72,S,3,female,16,5,2,46.9,0
73,S,2,male,21,0,0,73.5,0
74,C,3,male,26,1,0,14.4542,0
75,S,3,male,32,0,0,56.4958,1
76,S,3,male,25,0,0,7.65,0
77,S,3,male,,0,0,7.8958,0
78,S,3,male,,0,0,8.05,0
79,S,2,male,0.83,0,2,29,1
80,S,3,female,30,0,0,12.475,1
81,S,3,male,22,0,0,9,0
82,S,3,male,29,0,0,9.5,1
83,Q,3,female,,0,0,7.7875,1
84,S,1,male,28,0,0,47.1,0
85,S,2,female,17,0,0,10.5,1
86,S,3,female,33,3,0,15.85,1
87,S,3,male,16,1,3,34.375,0
88,S,3,male,,0,0,8.05,0
89,S,1,female,23,3,2,263,1
90,S,3,male,24,0,0,8.05,0
91,S,3,male,29,0,0,8.05,0
92,S,3,male,20,0,0,7.8542,0
93,S,1,male,46,1,0,61.175,0
94,S,3,male,26,1,2,20.575,0
95,S,3,male,59,0,0,7.25,0
96,S,3,male,,0,0,8.05,0
97,C,1,male,71,0,0,34.6542,0
98,C,1,male,23,0,1,63.3583,1
99,S,2,female,34,0,1,23,1
100,S,2,male,34,1,0,26,0
101,S,3,female,28,0,0,7.8958,0
102,S,3,male,,0,0,7.8958,0
103,S,1,male,21,0,1,77.2875,0
104,S,3,male,33,0,0,8.6542,0
105,S,3,male,37,2,0,7.925,0
106,S,3,male,28,0,0,7.8958,0
107,S,3,female,21,0,0,7.65,1
108,S,3,male,,0,0,7.775,1
109,S,3,male,38,0,0,7.8958,0
110,Q,3,female,,1,0,24.15,1
111,S,1,male,47,0,0,52,0
112,C,3,female,14.5,1,0,14.4542,0
113,S,3,male,22,0,0,8.05,0
114,S,3,female,20,1,0,9.825,0
