PassengerId,S,C,G,Pclass,Ho,Fe,Age,SibSp,Parch,Fare,Survived
1,1,0,0,3,1,0,22,1,0,7.25,0
2,0,1,0,1,0,1,38,1,0,71.2833,1
3,1,0,0,3,0,1,26,0,0,7.925,1
4,1,0,0,1,0,1,35,1,0,53.1,1
5,1,0,0,3,1,0,35,0,0,8.05,0
6,0,0,1,3,1,0,29.985855728429986,0,0,8.4583,0
7,1,0,0,1,1,0,54,0,0,51.8625,0
8,1,0,0,3,1,0,2,3,1,21.075,0
9,1,0,0,3,0,1,27,0,2,11.1333,1
10,0,1,0,2,0,1,14,1,0,30.0708,1
11,1,0,0,3,0,1,4,1,1,16.7,1
12,1,0,0,1,0,1,58,0,0,26.55,1
13,1,0,0,3,1,0,20,0,0,8.05,0
14,1,0,0,3,1,0,39,1,5,31.275,0
15,1,0,0,3,0,1,14,0,0,7.8542,0
16,1,0,0,2,0,1,55,0,0,16,1
17,0,0,1,3,1,0,2,4,1,29.125,0
18,1,0,0,2,1,0,29.985855728429986,0,0,13,1
19,1,0,0,3,0,1,31,1,0,18,0
20,0,1,0,3,0,1,29.985855728429986,0,0,7.225,1
21,1,0,0,2,1,0,35,0,0,26,0
22,1,0,0,2,1,0,34,0,0,13,1
23,0,0,1,3,0,1,15,0,0,8.0292,1
24,1,0,0,1,1,0,28,0,0,35.5,1
25,1,0,0,3,0,1,8,3,1,21.075,0
26,1,0,0,3,0,1,38,1,5,31.3875,1
27,0,1,0,3,1,0,29.985855728429986,0,0,7.225,0
28,1,0,0,1,1,0,19,3,2,263,0
29,0,0,1,3,0,1,29.985855728429986,0,0,7.8792,1
30,1,0,0,3,1,0,29.985855728429986,0,0,7.8958,0
31,0,1,0,1,1,0,40,0,0,27.7208,0
32,0,1,0,1,0,1,29.985855728429986,1,0,146.5208,1
33,0,0,1,3,0,1,29.985855728429986,0,0,7.75,1
34,1,0,0,2,1,0,66,0,0,10.5,0
35,0,1,0,1,1,0,28,1,0,82.1708,0
36,1,0,0,1,1,0,42,1,0,52,0
37,0,1,0,3,1,0,29.985855728429986,0,0,7.2292,1
38,1,0,0,3,1,0,21,0,0,8.05,0
39,1,0,0,3,0,1,18,2,0,18,0
40,0,1,0,3,0,1,14,1,0,11.2417,1
41,1,0,0,3,0,1,40,1,0,9.475,0
42,1,0,0,2,0,1,27,1,0,21,0
43,0,1,0,3,1,0,29.985855728429986,0,0,7.8958,0
44,0,1,0,2,0,1,3,1,2,41.5792,1
45,0,0,1,3,0,1,19,0,0,7.8792,1
46,1,0,0,3,1,0,29.985855728429986,0,0,8.05,0
47,0,0,1,3,1,0,29.985855728429986,1,0,15.5,0
48,0,0,1,3,0,1,29.985855728429986,0,0,7.75,1
49,0,1,0,3,1,0,29.985855728429986,2,0,21.6792,0
50,1,0,0,3,0,1,18,1,0,17.8,0
51,1,0,0,3,1,0,7,4,1,39.6875,0
52,1,0,0,3,1,0,21,0,0,7.8,0
53,0,1,0,1,0,1,49,1,0,76.7292,1
54,1,0,0,2,0,1,29,1,0,26,1
55,0,1,0,1,1,0,65,0,1,61.9792,0
56,1,0,0,1,1,0,29.985855728429986,0,0,35.5,1
57,1,0,0,2,0,1,21,0,0,10.5,1
58,0,1,0,3,1,0,28.5,0,0,7.2292,0
59,1,0,0,2,0,1,5,1,2,27.75,1
60,1,0,0,3,1,0,11,5,2,46.9,0
61,0,1,0,3,1,0,22,0,0,7.2292,0
62,0,0,0,1,0,1,38,0,0,80,1
63,1,0,0,1,1,0,45,1,0,83.475,0
64,1,0,0,3,1,0,4,3,2,27.9,0
65,0,1,0,1,1,0,29.985855728429986,0,0,27.7208,0
66,0,1,0,3,1,0,29.985855728429986,1,1,15.2458,1
67,1,0,0,2,0,1,29,0,0,10.5,1
68,1,0,0,3,1,0,19,0,0,8.1583,0
69,1,0,0,3,0,1,17,4,2,7.925,1
70,1,0,0,3,1,0,26,2,0,8.6625,0
71,1,0,0,2,1,0,32,0,0,10.5,0
72,1,0,0,3,0,1,16,5,2,46.9,0
73,1,0,0,2,1,0,21,0,0,73.5,0
74,0,1,0,3,1,0,26,1,0,14.4542,0
75,1,0,0,3,1,0,32,0,0,56.4958,1
76,1,0,0,3,1,0,25,0,0,7.65,0
77,1,0,0,3,1,0,29.985855728429986,0,0,7.8958,0
78,1,0,0,3,1,0,29.985855728429986,0,0,8.05,0
79,1,0,0,2,1,0,0.83,0,2,29,1
80,1,0,0,3,0,1,30,0,0,12.475,1
81,1,0,0,3,1,0,22,0,0,9,0
82,1,0,0,3,1,0,29,0,0,9.5,1
83,0,0,1,3,0,1,29.985855728429986,0,0,7.7875,1
84,1,0,0,1,1,0,28,0,0,47.1,0
85,1,0,0,2,0,1,17,0,0,10.5,1
86,1,0,0,3,0,1,33,3,0,15.85,1
87,1,0,0,3,1,0,16,1,3,34.375,0
88,1,0,0,3,1,0,29.985855728429986,0,0,8.05,0
89,1,0,0,1,0,1,23,3,2,263,1
90,1,0,0,3,1,0,24,0,0,8.05,0
91,1,0,0,3,1,0,29,0,0,8.05,0
92,1,0,0,3,1,0,20,0,0,7.8542,0
93,1,0,0,1,1,0,46,1,0,61.175,0
94,1,0,0,3,1,0,26,1,2,20.575,0
95,1,0,0,3,1,0,59,0,0,7.25,0
96,1,0,0,3,1,0,29.985855728429986,0,0,8.05,0
97,0,1,0,1,1,0,71,0,0,34.6542,0
98,0,1,0,1,1,0,23,0,1,63.3583,1
99,1,0,0,2,0,1,34,0,1,23,1
100,1,0,0,2,1,0,34,1,0,26,0
101,1,0,0,3,0,1,28,0,0,7.8958,0
102,1,0,0,3,1,0,29.985855728429986,0,0,7.8958,0
103,1,0,0,1,1,0,21,0,1,77.2875,0
104,1,0,0,3,1,0,33,0,0,8.6542,0
105,1,0,0,3,1,0,37,2,0,7.925,0
